"source","target","pathway_name","prob","pval"
"C4","C4","PTN",0.0379679792533797,0
"C4","C4","SEMA3",0.00144389088359423,0
"C4","C4","TENASCIN",6.4162888475788e-05,0.01
"C4","C4","THBS",0.107068693278197,0.0025
"C4","C4","THY1",2.82219392705151e-06,0
"C4","C4","TWEAK",2.74020981797861e-05,0
"C4","C4","VEGF",0.0107193018556648,0
"C4","C4","VISFATIN",0.000928338684368827,0.02
"C4","C5","ACTIVIN",5.48641779524696e-05,0
"C4","C5","AGT",0.000271125110804304,0
"C4","C5","BMP",0.00425313721370204,0
"C4","C5","CADM",0.00014152927697269,0
"C4","C5","CALCR",8.62806859460535e-05,0
"C4","C5","CD39",0.000157977948610569,0
"C4","C5","CD45",4.08464163745542e-05,0
"C4","C5","CHEMERIN",0.000698955938161164,0
"C4","C5","CLDN",1.37126514475149e-05,0
"C4","C5","COLLAGEN",0.0251544205089659,0
"C4","C5","CSF",7.34686220430126e-05,0.01
"C4","C5","EPHA",0.00227874312088308,0.01
"C4","C5","EPHB",0.00095739809694485,0.00166666666666667
"C4","C5","FGF",4.13212169092518e-05,0.0075
"C4","C5","FN1",0.00704465562984903,0.00333333333333333
"C4","C5","GALECTIN",4.9164619266715e-05,0
"C4","C5","GAS",0.000463171062979434,0
"C4","C5","GRN",0.00309863384982764,0.03
"C4","C5","HGF",6.29794881201021e-06,0
"C4","C5","HSPG",0.000950573077622194,0
"C4","C5","ICAM",0.000161213087080601,0
"C4","C5","IGF",0.000929213414882052,0.00666666666666667
"C4","C5","ITGB2",6.80022832256552e-05,0
"C4","C5","JAM",0.000303041645612727,0
"C4","C5","LAMININ",0.0423402209192276,0.00222222222222222
"C4","C5","MK",0.00593612787274644,0
"C4","C5","NCAM",0.000170363925035855,0
"C4","C5","NOTCH",0.00286481119966054,0.0233333333333333
"C4","C5","PDGF",0.00102072015602322,0.015
"C4","C5","PERIOSTIN",0.000329490906216866,0
"C4","C5","PROS",0.000168720203128693,0
"C4","C5","PTN",0.0381795604983025,0
"C4","C5","SEMA3",0.00220954572852107,0.00208333333333333
"C4","C5","SEMA5",0.000160200514578036,0
"C4","C5","SEMA6",0.000292300692672888,0
"C4","C5","SN",9.21776483096298e-06,0
"C4","C5","TENASCIN",6.66285408628272e-05,0
"C4","C5","TGFb",0.000386837041233963,0
"C4","C5","THBS",0.015891246865224,0.008
"C4","C5","THY1",2.0033177519942e-05,0
"C4","C5","VWF",0.00365063251769208,0
"C4","C5","ncWNT",4.9090764217908e-06,0.00666666666666667
"C4","C6","CDH",0.00362895805183562,0
"C4","C6","COLLAGEN",0.00038344464378367,0.04
"C4","C6","FN1",0.00330913766582361,0.02
"C4","C6","HSPG",0.000738665797723972,0.01
"C4","C6","IGF",0.000114803217578287,0
"C4","C6","ITGB2",6.84778151337222e-05,0
"C4","C6","LAMININ",0.0415656617197007,0.0109090909090909
"C4","C6","MK",0.000896444696430822,0
"C4","C6","NCAM",0.000118814551943756,0.02
"C4","C6","NEGR",0.000110398925580115,0
"C4","C6","THBS",0.0646583618182461,0.00857142857142857
"C4","C7","ANGPTL",0.00103786636115271,0.0075
"C4","C7","ANNEXIN",0.140737934832479,0
"C4","C7","CDH",0.00275774762513291,0.01
"C4","C7","COLLAGEN",0.1635819427759,0.00125
"C4","C7","COMPLEMENT",0.018875622354927,0
"C4","C7","CXCL",0.0115808746142493,0
"C4","C7","FN1",0.0256504217064377,0.01
"C4","C7","GALECTIN",0.000497170762884732,0
"C4","C7","GRN",0.00385711233246213,0.02
"C4","C7","ICAM",0.00918213860257021,0
"C4","C7","IGF",0.000156245674587288,0
"C4","C7","IL1",0.000686437505076079,0
"C4","C7","ITGB2",8.27041087659505e-05,0
"C4","C7","JAM",0.000889625979199876,0
"C4","C7","LAMININ",0.114440303166544,0.00352941176470588
"C4","C7","MK",0.000761766342733626,0.03
