cell_id,ndufb7_expression,cell_type
SC_92563_39_39,2,N_LA_NCM
SC_92563_38_17,0,N_LA_NCM
SC_92563_38_23,2,N_LA_NCM
SC_92563_39_47,21,N_LA_NCM
SC_92563_39_36,0,N_LA_NCM
SC_92563_39_42,0,N_LA_NCM
SC_92563_39_43,3,N_LA_NCM
SC_92563_40_70,0,N_LA_NCM
SC_92563_40_15,0,N_LA_NCM
SC_92563_40_16,10,N_LA_NCM
SC_92563_40_22,0,N_LA_NCM
SC_92563_40_23,0,N_LA_NCM
SC_92563_40_67,0,N_LA_NCM
SC_92563_41_47,0,N_LA_NCM
SC_92563_41_36,0,N_LA_NCM
SC_92563_42_60,0,N_LA_NCM
SC_92563_41_37,0,N_LA_NCM
SC_92563_41_38,7,N_LA_NCM
SC_92563_42_68,1,N_LA_NCM
SC_92563_37_15,1,N_LA_NCM
SC_92563_37_18,0,N_LA_NCM
SC_92563_38_41,7,N_LA_NCM
