"Gene","Expression"
"CCDC93",0.667667238421955
"HERC2",0.667095483133219
"RASGRP3",0.666523727844483
"CTD-2281M20.1",0.666523727844483
"ATP13A3",0.665523156089194
"BCKDHB",0.665523156089194
"ZNF207",0.665523156089194
"TRIM63",0.664522584333905
"UQCRC2",0.664522584333905
"MKL2",0.664379645511721
"STK39",0.664236706689537
"RC3H1",0.663379073756432
"TNKS",0.663379073756432
"TTC3",0.663379073756432
"ENOSF1",0.662664379645512
"NRDC",0.661377930245855
"GCNT2",0.661234991423671
"TPCN1",0.659376786735277
"SERF2",0.659376786735277
"SCMH1",0.659233847913093
"ATP11A",0.657947398513436
"FRMD3",0.657661520869068
"GABARAPL1",0.657232704402516
"SNX13",0.656803887935963
"USO1",0.655517438536307
"CEP350",0.655231560891938
"PIBF1",0.655088622069754
"SUCLG2",0.654088050314465
"ARFGEF1",0.653945111492281
"SUMF1",0.653516295025729
"ZFYVE16",0.653516295025729
"NCALD",0.653373356203545
"TMEM135",0.653230417381361
"ZNF521",0.652944539736993
"LINC00881",0.652658662092624
"FRMD4A",0.652658662092624
"GHR",0.651943967981704
"GOLGB1",0.651658090337336
"MBTPS1",0.651658090337336
"KIAA1109",0.650800457404231
"SLC38A1",0.650800457404231
"EPN2",0.650228702115495
"SOS1",0.648942252715838
"DPH6",0.647369925671813
"HSD17B12",0.646512292738708
"BCO2",0.646512292738708
"MNAT1",0.64622641509434
"SPAG9",0.645511720983419
"ATP5A1",0.645511720983419
"MEIS1",0.645368782161235
"PITPNC1",0.64451114922813
"MAPK8",0.644082332761578
"ACTN4",0.643939393939394
"NCKAP1",0.643367638650657
"CPQ",0.643224699828473
"SMAP1",0.642938822184105
"MAP4K4",0.642652944539737
"RALGAPA2",0.642652944539737
